bonus_v_large	bonus_v_infantry	key	damage	ap_damage	is_magical	melee_attack_interval
12	0	wh_dlc03_bst_ungor_spear_0	17	5	False	4.6
0	24	wh_dlc03_chs_chariot_razorgor	14	34	False	4
0	0	wh_dlc04_emp_free_company_sword	21	7	False	4.2
0	0	wh_dlc04_emp_hammer_arch_lector	266	114	False	4
0	0	wh_dlc04_emp_hammer_volkmar	230	150	True	4
0	0	wh_dlc04_emp_hammer_volkmar_altar	165	80	True	4.2
0	0	wh_dlc04_emp_lance_blazing_sun	30	12	False	5.1
0	0	wh_dlc04_emp_mace	25	8	False	4.5
0	0	wh_dlc04_emp_sigmars_sons_sword	23	7	False	4.3
0	0	wh_dlc04_vmp_corpse_cart	60	60	False	4
0	15	wh_dlc04_vmp_mortis_engine	50	70	False	4
0	0	wh_dlc04_vmp_strigoi	120	290	False	4
35	0	wh_dlc04_vmp_strigoi_terrogheist	125	295	False	4
0	0	wh_dlc04_vmp_sword_stalkers_poison	20	6	False	4.3
14	0	wh_dlc04_vmp_wolf_fangs_direpack	19	3	False	4.6
0	0	wh_dlc05_bst_harpy_claws	32	12	False	4
0	0	wh_dlc05_bst_morghur_claws	300	100	False	4
0	0	wh_dlc05_bst_morghur_claws_boss	150	100	False	4
0	0	wh_dlc05_vmp_red_duke_sword	330	180	False	4
15	0	wh_dlc05_wef_asrai_spear	4	20	False	4.5
0	0	wh_dlc05_wef_branchwraith_claws	230	100	True	4
0	0	wh_dlc05_wef_dragon	135	305	True	3.8
0	25	wh_dlc05_wef_dragon_boss	250	290	True	3.8
0	0	wh_dlc05_wef_dryads_claw	29	5	True	4.2
0	0	wh_dlc05_wef_durthu_sword	140	330	True	4
0	0	wh_dlc05_wef_glade_rider_sword	20	7	False	4
0	0	wh_dlc05_wef_great_eagle_caster	234	156	False	4
0	0	wh_dlc05_wef_great_eagle_claws	234	156	False	4
0	0	wh_dlc05_wef_greatsword	10	32	False	4.3
0	0	wh_dlc05_wef_hawk_talons	11	34	False	4
15	0	wh_dlc05_wef_orion_spear	180	310	False	4
23	0	wh_dlc05_wef_spear_wardancer	12	20	False	4.6
0	0	wh_dlc05_wef_sword	25	4	False	4.3
0	0	wh_dlc05_wef_sword_archer	23	3	False	4.3
0	8	wh_dlc05_wef_sword_dual	26	10	False	4.5
0	0	wh_dlc05_wef_sword_hero	260	100	False	4
0	0	wh_dlc05_wef_sword_hero_eagle	252	168	False	4
0	0	wh_dlc05_wef_sword_hero_waystalker	235	75	False	4
0	0	wh_dlc05_wef_sword_waywatcher	25	7	False	4.3
0	0	wh_dlc05_wef_sword_wizard	180	60	True	4
0	0	wh_dlc05_wef_thorn_sister_sword	19	9	False	4
0	0	wh_dlc05_wef_treekin_claws	40	18	True	4
0	0	wh_dlc05_wef_treekin_claws_RoR	40	18	True	3.8
0	0	wh_dlc05_wef_treeman_ancient_claws	345	126	True	4
0	0	wh_dlc05_wef_treeman_ancient_claws_boss	720	80	True	3.8
0	0	wh_dlc05_wef_treeman_claws	390	110	True	4
0	0	wh_dlc05_wef_wildrider_spear	28	14	False	5
0	0	wh_dlc05_wef_wildrider_sword	28	14	False	5
0	0	wh_dlc06_chs_aspiring_champions_sword	32	12	True	4
0	0	wh_dlc06_dwarf_axe_rangers	23	8	False	4.3
0	6	wh_dlc06_dwf_axe_dragonfire	22	6	False	4.3
0	0	wh_dlc06_dwf_axe_great_rangers	7	21	False	4.3
0	0	wh_dlc06_dwf_axe_hero_magical	250	125	True	4
0	0	wh_dlc06_dwf_grombindal_axe_great	185	315	True	4
0	0	wh_dlc06_dwf_hammer_caster_hero	240	100	False	4
0	0	wh_dlc06_dwf_hammer_hero_belegar	290	160	False	4
0	0	wh_dlc06_dwf_hammer_runesmith_magical	230	90	True	4
0	0	wh_dlc06_dwf_hammerers_peak	15	40	True	4.2
0	0	wh_dlc06_dwf_master_engineer_hammer_magical	60	220	True	4
0	0	wh_dlc06_grn_axe_krimson	14	38	False	3.7
0	0	wh_dlc06_grn_goblin_dual_sword	6	18	False	4.6
0	0	wh_dlc06_grn_goblin_spear_hero_general_poison	260	140	False	4
0	0	wh_dlc06_grn_goblin_sword_rustblight	21	6	False	4.3
0	10	wh_dlc06_grn_goblin_sword_squig_hopper	8	19	False	4
30	0	wh_dlc06_grn_skarsnik_halberd	115	275	False	4
0	40	wh_dlc06_grn_spear_squig_hero	140	260	False	4
0	0	wh_dlc06_grn_spider_fangs_0	18	5	False	4.3
0	0	wh_dlc06_grn_squig_hero	145	260	False	4
0	11	wh_dlc06_grn_squig_maw	9	24	False	4.3
0	0	wh_dlc06_grn_wurrzag	245	95	False	4
0	0	wh_dlc06_grn_wurrzag_boar	100	240	False	4
30	0	wh_dlc07_brt_alberic_sword	290	140	False	4
30	0	wh_dlc07_brt_alberic_sword_hippogryph	140	290	False	4
30	0	wh_dlc07_brt_alberic_sword_pegasus	290	140	False	4
0	0	wh_dlc07_brt_caster_fay	200	100	True	4
0	0	wh_dlc07_brt_grail_reliquae	30	15	False	4
0	0	wh_dlc07_brt_hippogryph_knight	35	100	False	4
12	0	wh_dlc07_brt_lance__royal_pegasus_knights	42	19	True	4.7
0	0	wh_dlc07_brt_lance_errant	21	9	False	5.1
0	0	wh_dlc07_brt_peasant_tool	12	4	False	4.3
0	9	wh_dlc07_brt_squire_sword_great	9	26	False	4.3
0	0	wh_dlc07_brt_sword	20	6	False	4.3
0	0	wh_dlc07_brt_sword_grail_guardian	23	12	True	4.5
0	0	wh_dlc07_brt_sword_great_questing	12	36	False	4.3
0	0	wh_dlc07_brt_sword_green_knight	140	260	True	4
0	0	wh_dlc07_brt_sword_louen	300	150	False	4
0	0	wh_dlc07_brt_sword_pilgrim	25	7	False	4.3
0	0	wh_dlc07_bst_centigor_great_axe_ror	7	27	True	4.6
10	0	wh_dlc08_brt_lance_errant_ror	21	9	False	5.1
10	0	wh_dlc08_brt_lance_ror	28	9	True	5.1
0	0	wh_dlc08_club_ice_troll	39	81	False	4
28	0	wh_dlc08_club_troll_throgg	123	372	False	4
0	0	wh_dlc08_nor_axe_champion	30	9	False	4
0	0	wh_dlc08_nor_axe_great_champion	10	30	False	4.3
0	0	wh_dlc08_nor_axes_hunters	25	9	False	4
0	0	wh_dlc08_nor_balefiend_staff	80	320	True	4
0	5	wh_dlc08_nor_berserker_dual_axes	39	13	False	4
0	0	wh_dlc08_nor_fimir_dual_axe	26	64	True	3.8
27	0	wh_dlc08_nor_great_mace	31	64	True	4
0	0	wh_dlc08_nor_javelin	20	5	False	5.7
0	20	wh_dlc08_nor_mammoth_tusks	125	400	False	3.5
0	0	wh_dlc08_nor_mammoth_tusks_ror	25	80	False	3.2
30	0	wh_dlc08_nor_skinwolves_claws	39	21	False	4
15	0	wh_dlc08_nor_spear	20	5	False	5.7
14	0	wh_dlc08_nor_warhound_ror	20	2	False	4
0	18	wh_dlc08_nor_warwolf_chariot	40	13	False	4
0	0	wh_dlc08_nor_warwolf_claw	29	13	False	4
36	0	wh_dlc08_nor_werekin_claws	140	280	False	4
0	0	wh_dlc08_nor_wulfrik_sword	320	170	False	4
0	0	wh_dlc08_nor_wyrm	140	310	True	3.8
0	0	wh_dlc08_nor_wyrm_boss	193	356	True	4
30	0	wh_dlc10_dwf_slayer_axe_great	10	33	False	4.3
0	0	wh_main_brt_cavalry_spear	18	4	False	5
17	0	wh_main_brt_halberd	7	18	False	5.5
0	0	wh_main_brt_hammer	22	8	False	4.3
0	0	wh_main_brt_hippogryph	150	290	False	4
0	0	wh_main_brt_hippogryph_beaquis	160	290	False	4
10	0	wh_main_brt_lance	28	9	False	5.1
12	0	wh_main_brt_lance_grail_knight	23	15	True	5.1
0	0	wh_main_brt_lance_hero	270	90	False	4
10	0	wh_main_brt_lance_pegasus_knights	42	14	False	4.7
15	0	wh_main_brt_spear	17	5	False	5.7
0	0	wh_main_brt_sword_caster_hero	200	85	False	4
12	0	wh_main_brt_sword_hero	255	135	False	4
0	0	wh_main_brt_sword_hero_lord	290	140	False	4
0	0	wh_main_brt_sword_short	19	3	False	4.3
0	0	wh_main_brt_sword_yeomen_archers	19	3	False	5
0	0	wh_main_chs_archaon_0	345	185	True	4
0	0	wh_main_chs_archaon_1	345	185	True	4
0	0	wh_main_chs_axe	26	10	False	4
0	0	wh_main_chs_axe_chosen	32	12	False	3.8
0	0	wh_main_chs_axe_great_chosen	12	38	False	4.1
0	0	wh_main_chs_axe_great_marauders	7	20	False	4.6
0	0	wh_main_chs_axe_hero	275	145	False	4
0	0	wh_main_chs_axe_marauders	21	7	False	4.2
0	18	wh_main_chs_chariot	29	11	False	4
0	26	wh_main_chs_chariot_caster_hero	100	200	False	4
0	26	wh_main_chs_chariot_hero	110	250	False	4
0	0	wh_main_chs_claws_chaos_spawn	118	42	False	3.8
19	0	wh_main_chs_halberd	10	24	False	4.4
0	0	wh_main_chs_lance	31	15	False	5
0	0	wh_main_chs_lord_of_change	300	140	True	4
0	0	wh_main_chs_marauder_horsemaster_spear	20	6	False	5
0	0	wh_main_chs_marauder_horsemen_spear	19	5	False	5
0	0	wh_main_chs_sword	29	9	False	4.3
0	0	wh_main_chs_sword_caster_hero	220	95	False	4
0	0	wh_main_chs_sword_caster_lord_hero	240	120	False	4
0	0	wh_main_chs_sword_chaos_knight	28	10	False	4.6
0	0	wh_main_chs_sword_hero	320	170	False	4
0	0	wh_main_chs_warhound	19	3	False	4.3
0	0	wh_main_chs_warhound_poison	19	3	False	4.3
0	0	wh_main_claws_crypt_horrors	15	50	False	4.2
0	0	wh_main_claws_ghouls	36	4	False	4.3
0	0	wh_main_club	10	8	False	4.3
0	0	wh_main_club_giant	150	400	False	4
0	0	wh_main_club_giant_boss	130	300	False	3.8
0	0	wh_main_club_troll	30	70	False	3.8
0	0	wh_main_dagger_dual	10	20	False	4.3
0	0	wh_main_dwf_axe	21	7	False	4.3
0	0	wh_main_dwf_axe_great	7	23	False	4.3
0	0	wh_main_dwf_axe_great_quarreller	7	23	False	4.3
0	0	wh_main_dwf_axe_hero	250	125	False	4
0	0	wh_main_dwf_axe_hero_lord	280	140	False	4
0	0	wh_main_dwf_axe_hero_thorgrim	280	170	True	4
0	0	wh_main_dwf_axe_ironbreakers	22	10	False	4.3
0	0	wh_main_dwf_drakegun	17	3	False	4
0	0	wh_main_dwf_gyrobomber	68	20	False	3.2
0	0	wh_main_dwf_gyrocopter	50	16	False	3.2
0	0	wh_main_dwf_hammer_runesmith	230	90	False	4
0	0	wh_main_dwf_hammerers	14	41	False	4.2
0	0	wh_main_dwf_longbeards_axe	25	7	False	4.3
0	0	wh_main_dwf_longbeards_axe_great	9	25	False	4.3
0	0	wh_main_dwf_master_engineer_hammer	60	220	False	4
0	0	wh_main_dwf_miners_pickaxe	5	17	False	4.3
24	0	wh_main_dwf_slayer_axe_dual	32	16	False	4.3
35	0	wh_main_dwf_ungrim_axe_great	145	285	False	4
25	0	wh_main_emp_demigryph_halberd	17	35	False	4.8
0	0	wh_main_emp_demigryph_lance	19	39	False	4.7
0	9	wh_main_emp_greatsword	9	23	False	4.3
16	0	wh_main_emp_halberd	8	20	False	5.6
0	0	wh_main_emp_hammer_hero	140	330	False	4
0	0	wh_main_emp_hammer_warrior_priest	240	120	False	4
0	0	wh_main_emp_imperial_griffon	160	290	False	4
0	0	wh_main_emp_karl_franz_deathclaw	145	345	False	4
0	0	wh_main_emp_karl_franz_pegasus	140	330	False	4
0	0	wh_main_emp_lance	21	9	False	5.1
0	0	wh_main_emp_lance_hero	250	250	False	4
0	0	wh_main_emp_lance_hero_general	300	150	False	4
0	0	wh_main_emp_lance_reiksguard	28	12	False	5.1
0	0	wh_main_emp_luminark	20	6	False	4
15	0	wh_main_emp_spear	19	6	False	4.4
13	0	wh_main_emp_spear_0	19	6	False	5.7
0	0	wh_main_emp_sword	21	7	False	4.3
0	0	wh_main_emp_sword_caster	210	90	False	4
0	0	wh_main_emp_sword_cav	21	3	False	5.1
0	0	wh_main_emp_sword_hero	250	125	False	4
0	0	wh_main_emp_sword_hero_general	290	140	False	4
0	0	wh_main_emp_sword_short	21	3	False	4.3
0	0	wh_main_emp_sword_witchhunter	230	100	True	4
0	0	wh_main_grn_arachnarok	100	280	False	3.2
0	0	wh_main_grn_axe_choppa_savages	26	9	False	4.3
0	0	wh_main_grn_axe_great	14	36	False	3.7
0	0	wh_main_grn_axe_great_grimgor	150	350	False	4
0	18	wh_main_grn_boar_chariot	10	30	False	4
0	25	wh_main_grn_boar_chariot_caster_hero	18	90	False	4
0	0	wh_main_grn_choppa	26	8	False	3.9
0	0	wh_main_grn_choppa_azhag	150	250	False	4
0	0	wh_main_grn_choppa_caster_hero	215	95	False	4
8	0	wh_main_grn_choppa_dual_big_uns	29	13	False	3.9
0	0	wh_main_grn_choppa_hero	280	170	False	4
0	0	wh_main_grn_goblin_spear	19	6	False	4.6
0	0	wh_main_grn_goblin_spear_caster_hero	116	34	False	4
0	0	wh_main_grn_goblin_spear_poison	21	6	False	4.3
0	0	wh_main_grn_goblin_spear_wolf	19	5	False	4.5
0	0	wh_main_grn_goblin_sword	23	7	False	4.3
0	0	wh_main_grn_goblin_sword_caster_hero	200	80	False	4
0	0	wh_main_grn_goblin_sword_caster_hero_poison	200	80	False	4
0	0	wh_main_grn_goblin_sword_hero	240	120	False	4
0	0	wh_main_grn_goblin_sword_hero_poison	240	120	False	4
0	0	wh_main_grn_goblin_sword_poison	21	6	False	4
0	0	wh_main_grn_goblin_sword_poison_spider_rider	20	6	False	4
0	0	wh_main_grn_orc_boar_caster_hero	80	180	False	4
0	0	wh_main_grn_orc_boar_choppa	10	20	False	4.6
0	0	wh_main_grn_orc_boar_choppa_hero	170	280	False	4
0	0	wh_main_grn_orc_boar_choppa_savage_big_uns	12	24	False	4.5
12	0	wh_main_grn_orc_boar_spear	9	23	False	5.1
0	12	wh_main_grn_wolf_chariot	18	6	False	4
0	30	wh_main_grn_wolf_chariot_hero	200	80	False	4
0	0	wh_main_grn_wyvern	170	300	False	4
0	0	wh_main_grn_wyvern_skullmuncha	175	305	False	4
0	0	wh_main_hammer	22	8	False	4.3
0	0	wh_main_pickaxe	14	17	False	4.3
0	0	wh_main_scythe	20	8	True	4.3
0	0	wh_main_staff	10	8	False	4.3
0	15	wh_main_steamtank	65	115	False	4
0	0	wh_main_sword	25	7	False	4.3
0	0	wh_main_sword_short	21	3	False	4.3
0	0	wh_main_unarmed	10	0	False	4.3
0	20	wh_main_vmp_black_coach	30	90	True	3.2
0	0	wh_main_vmp_claws_vargheist	62	38	False	4
0	0	wh_main_vmp_claws_varghulf	85	205	False	2.9
0	0	wh_main_vmp_fell_bats	20	2	False	4.3
0	0	wh_main_vmp_hero_banshee	70	210	True	4
0	0	wh_main_vmp_hero_zombie_dragon	140	380	False	3.8
0	0	wh_main_vmp_scythe_cairnwraith	6	38	True	4.3
0	0	wh_main_vmp_scythe_chillgheist	4	34	True	4.6
0	0	wh_main_vmp_scythe_hexwraith	4	34	True	4.6
13	0	wh_main_vmp_spear	18	6	False	4.5
0	0	wh_main_vmp_staff_hero	210	90	False	4
0	0	wh_main_vmp_staff_hero_kemmler	220	120	False	4
0	0	wh_main_vmp_sword	20	6	False	4.3
0	0	wh_main_vmp_sword_hero	290	140	False	4
0	0	wh_main_vmp_sword_hero_lord	310	170	False	4
0	0	wh_main_vmp_sword_hero_vampire	300	130	False	4
0	14	wh_main_vmp_sword_hero_wight_king	260	150	False	4
0	0	wh_main_vmp_sword_zombie	16	2	False	4.3
35	0	wh_main_vmp_terrorgheist	125	295	False	4
40	0	wh_main_vmp_terrorgheist_boss	250	360	False	3.8
0	0	wh_main_vmp_wightblade_black_knight	29	9	False	4.9
0	8	wh_main_vmp_wightblade_grave_guard	30	8	False	4.4
0	10	wh_main_vmp_wightblade_grave_guard_great	12	28	False	4.3
0	0	wh_main_vmp_wightblade_lance	30	12	False	5.1
0	0	wh_main_vmp_wolf_fangs	19	3	False	4.6
20	0	wh_pro03_vamp_krell_axe_great	210	260	False	4.3
0	0	wh_pro04_brt_dual_swords_pilgrim	36	8	True	4.3
8	0	wh_pro04_brt_sword_great_questing_ror	12	34	False	4.2
16	0	wh_pro04_bst_bestigor_halberd	13	26	False	4
0	0	wh_pro04_bst_cygor	100	300	True	4
12	0	wh_pro04_bst_ungor_spear_0	17	5	False	4.2
0	0	wh_pro04_chs_claws_chaos_spawn_ror	118	42	False	3.8
26	0	wh_pro04_chs_dragon_ogre_ror	33	77	True	4
0	0	wh_pro04_chs_sword	29	9	False	4.3
0	15	wh_pro04_chs_sword_chaos_knight_ror	17	33	False	4.6
30	0	wh_pro04_nor_skinwolves_claws_ror	21	39	False	4
15	0	wh_pro04_wef_asrai_spear	6	27	False	4.5
0	0	wh2_cld09_tmb_carrion	30	10	False	4
0	0	wh2_cld09_tmb_carrion_ror	15	45	True	4
0	5	wh2_dlc09_dual_swords_ushabti	20	52	False	3.8
25	0	wh2_dlc09_skv_cha_tretch_craventail	280	120	False	4
0	0	wh2_dlc09_sword_ushabti	18	47	False	3.8
35	0	wh2_dlc09_swords_necrosphinx	150	400	False	3.6
35	0	wh2_dlc09_swords_necrosphinx_RoR	150	400	True	3.6
0	0	wh2_dlc09_tmb_cavalry_spear	20	5	False	4.5
0	12	wh2_dlc09_tmb_chariot	24	10	False	4
0	28	wh2_dlc09_tmb_chariot_khalida	230	120	False	4
0	28	wh2_dlc09_tmb_chariot_lord	230	120	False	4
0	25	wh2_dlc09_tmb_chariot_settra	140	330	True	4
0	0	wh2_dlc09_tmb_dual_sword	26	7	False	4.5
0	0	wh2_dlc09_tmb_dual_sword_ror	32	15	True	4.5
19	0	wh2_dlc09_tmb_halberd	9	20	False	4.9
25	0	wh2_dlc09_tmb_halberd_prince	110	260	False	4
20	0	wh2_dlc09_tmb_halberd_settra	140	330	False	4
21	0	wh2_dlc09_tmb_halberd_stalker	21	57	False	4.6
28	0	wh2_dlc09_tmb_necropolis_knights_halberd	17	33	False	5
0	0	wh2_dlc09_tmb_necropolis_knights_lance	19	36	False	4.7
0	0	wh2_dlc09_tmb_necroserpent_khalida	135	315	False	4
0	10	wh2_dlc09_tmb_scorpion_claws	110	270	False	3.7
13	0	wh2_dlc09_tmb_spear	18	6	False	5.7
13	0	wh2_dlc09_tmb_spear_ror	19	5	False	4.5
0	0	wh2_dlc09_tmb_staff_hero	210	90	False	4
0	0	wh2_dlc09_tmb_staff_khalida	270	180	False	3.7
0	0	wh2_dlc09_tmb_sword	20	6	False	4.3
0	0	wh2_dlc09_tmb_sword_casket_khatep	230	120	False	4
0	20	wh2_dlc09_tmb_sword_hero	240	120	False	4
0	0	wh2_dlc09_tmb_sword_hero_khatep	210	90	False	4
0	0	wh2_dlc09_tmb_sword_hero_lord	290	160	False	4
0	0	wh2_dlc09_tmb_sword_nehekhara_horsemen	28	10	False	5
0	0	wh2_dlc09_tmb_sword_short	17	3	False	4.4
0	0	wh2_dlc09_tmb_sword_tomb_guard	33	9	False	4.4
0	15	wh2_dlc09_tmb_warsphinx	140	340	False	3.5
0	15	wh2_dlc09_tmb_warsphinx_lord	145	345	False	3.5
0	20	wh2_dlc10_def_crone_cauldron	105	155	False	4.8
0	20	wh2_dlc10_def_crone_dual_swords	140	330	False	4
0	20	wh2_dlc10_def_crone_manticore	140	330	False	3.6
25	0	wh2_dlc10_def_kharibdyss	150	350	False	3.6
0	0	wh2_dlc10_def_manticore	290	155	False	3.6
0	0	wh2_dlc10_def_sisters_of_slaughter_whip	27	11	False	4.5
0	35	wh2_dlc10_def_war_hydra_boss	440	450	False	3.6
0	0	wh2_dlc10_def_war_hydra_ror_0	140	300	False	3.6
0	0	wh2_dlc10_def_warlock_sword	32	13	True	4.5
0	0	wh2_dlc10_hef_alarielle_great_eagle	234	156	True	4
0	0	wh2_dlc10_hef_alarielle_sword	200	100	True	4
0	0	wh2_dlc10_hef_alith_anar_mirror	1	1	False	4
0	0	wh2_dlc10_hef_alith_anar_mirror_1	130	70	False	4
0	12	wh2_dlc10_hef_dual_swords_shadow	24	10	False	4.6
0	0	wh2_dlc10_hef_flamespyre_phoenix_boss	240	280	True	4
35	0	wh2_dlc10_hef_handmaiden_spear	250	110	False	4
0	0	wh2_dlc10_hef_sword_shadow	22	10	False	4.3
0	0	wh2_dlc10_hef_sword_sisters	22	10	False	4.3
35	0	wh2_dlc10_lzd_feral_carnosaur_boss	175	650	False	3.6
20	0	wh2_dlc10_skv_hell_pit_abomination_boss	350	450	False	3.2
0	0	wh2_dlc10_tmb_bone_giant	100	300	False	4
0	0	wh2_main_def_black_dragon	140	380	False	3.8
0	22	wh2_main_def_cold_one_chariot	12	32	False	4
14	0	wh2_main_def_cold_one_lance	12	30	False	4.2
0	0	wh2_main_def_cold_one_mace	14	34	False	4.3
0	25	wh2_main_def_death_hag	280	120	False	4
0	20	wh2_main_def_death_hag_cauldron	180	80	False	4.8
0	0	wh2_main_def_dreadlord_black_dragon	140	380	False	3.8
0	0	wh2_main_def_dreadlord_cold_one	120	280	False	4
0	0	wh2_main_def_dreadlord_female_black_dragon	140	380	False	3.8
0	0	wh2_main_def_dreadlord_female_cold_one	120	280	False	4
0	0	wh2_main_def_dreadlord_female_sword	260	140	False	4
0	0	wh2_main_def_dreadlord_sword	260	140	False	4
0	7	wh2_main_def_dual_swords	21	7	False	4.8
0	8	wh2_main_def_dual_swords_shades	21	9	False	4.6
0	8	wh2_main_def_dual_swords_witch_elves	23	9	False	4.6
0	14	wh2_main_def_greatsword	13	29	False	4.3
0	12	wh2_main_def_greatsword_shades	10	26	False	4.3
24	0	wh2_main_def_halberd	14	30	False	4.9
0	0	wh2_main_def_khainite_assassin	230	120	False	3.8
0	0	wh2_main_def_malekith_black_dragon	140	380	False	3.8
0	28	wh2_main_def_malekith_chariot	130	270	False	4.2
0	0	wh2_main_def_malekith_cold_one	126	294	False	4
0	0	wh2_main_def_malekith_sword	273	147	False	4
15	0	wh2_main_def_morathi_staff	100	240	False	4
0	0	wh2_main_def_shortsword	19	5	False	4.3
0	0	wh2_main_def_sorceress_cold_one	85	200	False	4
0	0	wh2_main_def_sorceress_staff	200	85	False	4
14	0	wh2_main_def_spear	19	6	False	4.6
0	0	wh2_main_def_spear_darkriders	20	6	False	4.5
14	0	wh2_main_def_spear_ror	19	6	False	4.6
0	0	wh2_main_def_sword	21	7	False	4.4
0	0	wh2_main_def_sword_shades	21	9	False	4.5
0	0	wh2_main_def_war_hydra	140	300	False	3.6
0	0	wh2_main_hef_flamespyre_phoenix	100	230	True	4
0	0	wh2_main_hef_frostheart_phoenix	110	250	True	4
0	0	wh2_main_hef_great_eagle	234	156	False	4
0	0	wh2_main_hef_greataxe	9	25	False	4.4
0	0	wh2_main_hef_greataxe_ror	9	25	False	4.4
0	14	wh2_main_hef_greatsword	11	25	False	4.3
20	0	wh2_main_hef_halberd	11	25	False	4.9
20	0	wh2_main_hef_halberd_ror	11	25	True	4.9
0	24	wh2_main_hef_ithilmar_chariot	38	16	False	4
0	0	wh2_main_hef_lance	23	9	False	5
0	0	wh2_main_hef_lance_dragon_princes	32	12	False	5
18	0	wh2_main_hef_lance_dragon_princes_fireborn	32	12	False	5
0	0	wh2_main_hef_lord_great_eagle	264	176	False	4
0	0	wh2_main_hef_lord_greataxe	120	280	False	4
0	0	wh2_main_hef_lord_star_dragon	145	435	False	3.8
0	0	wh2_main_hef_lord_sun_dragon	135	325	False	3.8
0	0	wh2_main_hef_lord_sword	234	126	False	4
0	16	wh2_main_hef_loremaster_of_hoeth	125	235	False	4
0	30	wh2_main_hef_mage_chariot	200	85	False	4.6
0	0	wh2_main_hef_mage_staff	200	85	False	4
0	0	wh2_main_hef_moon_dragon	140	380	False	3.8
0	20	wh2_main_hef_noble_chariot	90	210	False	4.6
0	0	wh2_main_hef_noble_great_eagle	252	168	False	4
35	0	wh2_main_hef_noble_halberd	120	220	False	4
0	0	wh2_main_hef_prince_sword	260	140	False	4
0	0	wh2_main_hef_princess_sword	260	140	False	4
0	0	wh2_main_hef_shortsword	19	5	False	4.3
15	0	wh2_main_hef_spear	19	6	False	4.8
0	0	wh2_main_hef_spear_ellyrian_reavers	20	7	False	4.5
16	0	wh2_main_hef_spear_gate_guard	21	9	False	4.2
16	0	wh2_main_hef_spear_guard	20	8	False	4.2
0	0	wh2_main_hef_star_dragon	145	435	False	3.8
0	0	wh2_main_hef_sun_dragon	135	325	False	3.8
0	0	wh2_main_hef_sword	19	5	False	4.3
0	0	wh2_main_hef_sword_ellyrian_reaver_archers	20	7	False	4.5
0	0	wh2_main_hef_teclis_sword	168	112	False	4
0	18	wh2_main_hef_tiranoc_chariot	29	11	False	4
0	0	wh2_main_hef_tyrion_sword	270	220	False	4
0	15	wh2_main_lzd_ancient_stegadon	140	340	False	3.5
0	15	wh2_main_lzd_bastiladon	90	160	False	3.7
35	0	wh2_main_lzd_carnosaur_hero	115	350	False	3.6
35	0	wh2_main_lzd_cha_carnosaur_lord	125	375	False	3.6
0	0	wh2_main_lzd_cha_caster_hero	210	70	False	4
