,BVI,BVL,HP,MP_cost,ap_damage,ap_fraction,armor,attack_interval,attributes,caste,category,charge,class,damage,damage_mod_all,damage_mod_fire,damage_mod_magic,damage_mod_missiles,damage_mod_physical,faction,fly_speed,ground_speed,key_name,leadership,mass,melee_A,melee_D,melee_weapon,missile_ap_damage,missile_ap_fraction,missile_damage,missile_projectiles,missile_range,missile_shots_per_volley,missile_total_damage,missile_weapon,models,name,shield,total_damage,weight_class
10,0,0,3870,500,3,0.15,20,4.4,wh_fear_guerrilla_hideForest_undead_mountedFireMove,missile_cavalry,cavalry,14,cav_mis,17,0,0,0,0,0,tmb,0.0,76.0,wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,36,700,16,18,wh2_dlc09_tmb_sword_short,3,0.17647058823529413,14,1,140,1,17,wh2_dlc09_tmb_bow_horse,45,Skeleton Horsemen Archers,0,20,medium
11,0,0,3630,1100,160,0.35555555555555557,90,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,12,com,290,0,-25,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_arkhan_0,75,600,40,50,wh2_dlc09_tmb_sword_hero_lord,0,0.0,0,0,0,0,0,,1,Arkhan the Black,0,450,medium
12,0,0,3936,1200,160,0.35555555555555557,90,4.0,wh_encourage_fear_hideForest_undead,lord,cavalry,32,com,290,0,-25,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_arkhan_1,75,900,40,50,wh2_dlc09_tmb_sword_hero_lord,0,0.0,0,0,0,0,0,,1,Arkhan the Black,0,450,medium
13,28,0,4245,1400,120,0.34285714285714286,95,4.0,wh_encourage_fear_undead_strider,lord,war_machine,75,com,230,0,-25,0,15,0,tmb,0.0,84.0,wh2_dlc09_tmb_cha_arkhan_2,75,1100,30,36,wh2_dlc09_tmb_chariot_lord,0,0.0,0,0,0,0,0,,5,Arkhan the Black,0,350,heavy
14,0,0,3630,1200,180,0.4,50,3.7,wh_encourage_fear_hideForest_undead,lord,inf_melee,70,com,270,0,-25,0,15,0,tmb,0.0,46.0,wh2_dlc09_tmb_cha_khalida_0,80,550,65,60,wh2_dlc09_tmb_staff_khalida,0,0.0,0,0,0,0,0,,1,High Queen Khalida,0,450,medium
15,0,0,4053,1550,315,0.7,90,4.0,wh_encourage_fear_hideForest_undead,lord,cavalry,70,com,135,0,-25,0,15,0,tmb,0.0,66.0,wh2_dlc09_tmb_cha_khalida_1,80,1300,65,60,wh2_dlc09_tmb_necroserpent_khalida,0,0.0,0,0,0,0,0,,1,High Queen Khalida,0,450,medium
16,28,0,4221,1400,120,0.34285714285714286,95,4.0,wh_encourage_fear_undead,lord,war_machine,90,com,230,0,-25,0,15,0,tmb,0.0,74.0,wh2_dlc09_tmb_cha_khalida_2,80,900,35,26,wh2_dlc09_tmb_chariot_khalida,0,0.0,0,0,0,0,0,,2,High Queen Khalida,0,350,heavy
17,0,0,2916,650,90,0.3,40,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,10,com,210,0,0,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_khatep_0,75,800,28,38,wh2_dlc09_tmb_sword_hero_khatep,0,0.0,0,0,0,0,0,,1,Grand Hierophant Khatep,0,300,medium
18,0,0,3288,750,90,0.3,40,4.0,wh_encourage_fear_hideForest_undead,lord,cavalry,30,com,210,0,0,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_khatep_1,75,900,28,38,wh2_dlc09_tmb_sword_hero_khatep,0,0.0,0,0,0,0,0,,1,Grand Hierophant Khatep,0,300,medium
19,28,0,3780,1050,120,0.34285714285714286,95,4.0,wh_encourage_fear_undead,lord,war_machine,75,com,230,0,0,0,15,0,tmb,0.0,74.0,wh2_dlc09_tmb_cha_khatep_2,75,900,28,24,wh2_dlc09_tmb_chariot_lord,0,0.0,0,0,0,0,0,,2,Grand Hierophant Khatep,0,350,heavy
20,0,0,3612,1350,120,0.34285714285714286,80,4.0,wh_encourage_fear_undead,lord,war_machine,8,com,230,0,0,0,15,0,tmb,0.0,26.0,wh2_dlc09_tmb_cha_khatep_3,75,4000,28,20,wh2_dlc09_tmb_sword_casket_khatep,90,0.6923076923076923,40,7,440,1,130,wh2_dlc09_tmb_casket_of_souls,1,Grand Hierophant Khatep,0,350,heavy
21,0,0,2640,300,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,10,com,210,0,0,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_liche_priest_death_0,60,600,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Death),0,300,medium
22,0,0,2961,400,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,hero,cavalry,30,com,210,0,0,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_liche_priest_death_1,60,900,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Death),0,300,heavy
23,0,0,2640,300,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,10,com,210,0,0,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_liche_priest_light_0,60,600,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Light),0,300,medium
24,0,0,2961,400,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,hero,cavalry,30,com,210,0,0,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_liche_priest_light_1,60,900,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Light),0,300,heavy
25,0,0,2640,300,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,10,com,210,0,0,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_liche_priest_nehekhara_0,60,600,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Nehekhara),0,300,medium
26,0,0,2961,400,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,hero,cavalry,30,com,210,0,0,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_liche_priest_nehekhara_1,60,900,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Nehekhara),0,300,heavy
27,0,0,2640,300,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,10,com,210,0,0,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_liche_priest_shadow_0,60,600,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Shadows),0,300,medium
28,0,0,2961,400,90,0.3,30,4.0,wh_encourage_fear_hideForest_undead,hero,cavalry,30,com,210,0,0,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_liche_priest_shadow_1,60,900,25,30,wh2_dlc09_tmb_staff_hero,0,0.0,0,0,0,0,0,,1,Liche Priest (Shadows),0,300,heavy
29,20,0,2841,500,120,0.3333333333333333,50,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,20,com,240,0,-25,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_necrotect_0,65,600,45,30,wh2_dlc09_tmb_sword_hero,0,0.0,0,0,0,0,0,,1,Necrotect,0,360,medium
30,28,0,3630,900,120,0.34285714285714286,80,4.0,wh_encourage_fear_undead,hero,war_machine,75,com,230,0,-25,0,15,0,tmb,0.0,74.0,wh2_dlc09_tmb_cha_necrotect_1,65,900,28,24,wh2_dlc09_tmb_chariot_lord,0,0.0,0,0,0,0,0,,2,Necrotect,0,350,heavy
31,0,20,3897,1550,330,0.7021276595744681,80,4.0,wh2_chargeReflectorVsL_encourage_fear_hideForest_undead,lord,inf_melee,20,com,140,0,-25,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_settra_0,85,800,60,55,wh2_dlc09_tmb_halberd_settra,0,0.0,0,0,0,0,0,,1,Settra the Imperishable,0,470,medium
32,0,20,4203,1650,330,0.7021276595744681,80,4.0,wh_encourage_fear_hideForest_undead,lord,cavalry,40,com,140,0,-25,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_settra_1,85,900,60,55,wh2_dlc09_tmb_halberd_settra,0,0.0,0,0,0,0,0,,1,Settra the Imperishable,0,470,medium
33,25,0,5583,2200,330,0.7021276595744681,110,4.0,wh_encourage_fear_undead,lord,war_machine,100,com,140,0,-25,0,15,0,tmb,0.0,84.0,wh2_dlc09_tmb_cha_settra_2,85,1550,45,27,wh2_dlc09_tmb_chariot_settra,0,0.0,0,0,0,0,0,,2,Settra the Imperishable,0,470,heavy
34,15,0,7512,2100,345,0.7040816326530612,95,3.5,wh_encourage_fear_terror_undead,lord,war_beast,64,com,145,0,-25,0,15,0,tmb,0.0,68.0,wh2_dlc09_tmb_cha_settra_3,85,5500,36,42,wh2_dlc09_tmb_warsphinx_lord,0,0.0,0,0,0,0,0,,1,Settra the Imperishable,0,490,very_heavy
35,0,0,3630,1200,160,0.35555555555555557,80,4.0,wh_encourage_fear_hideForest_undead,lord,inf_melee,20,com,290,0,-25,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_tomb_king_0,80,800,50,60,wh2_dlc09_tmb_sword_hero_lord,0,0.0,0,0,0,0,0,,1,Tomb King,55,450,medium
36,0,0,3936,1300,160,0.35555555555555557,80,4.0,wh_encourage_fear_hideForest_undead,lord,cavalry,40,com,290,0,-25,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_tomb_king_1,80,900,50,60,wh2_dlc09_tmb_sword_hero_lord,0,0.0,0,0,0,0,0,,1,Tomb King,35,450,medium
37,28,0,4371,1400,120,0.34285714285714286,110,4.0,wh_encourage_fear_undead,lord,war_machine,80,com,230,0,-25,0,15,0,tmb,0.0,74.0,wh2_dlc09_tmb_cha_tomb_king_2,80,900,34,26,wh2_dlc09_tmb_chariot_lord,0,0.0,0,0,0,0,0,,2,Tomb King,0,350,heavy
38,15,0,7362,2000,345,0.7040816326530612,95,3.5,wh_encourage_fear_terror_undead,lord,war_beast,64,com,145,0,-25,0,15,0,tmb,0.0,68.0,wh2_dlc09_tmb_cha_tomb_king_3,80,5500,34,42,wh2_dlc09_tmb_warsphinx_lord,0,0.0,0,0,0,0,0,,1,Tomb King,0,490,very_heavy
39,0,25,3201,800,260,0.7027027027027027,70,4.0,wh2_chargeReflectorVsL_encourage_fear_hideForest_undead,hero,inf_melee,15,com,110,0,-25,0,15,0,tmb,0.0,31.0,wh2_dlc09_tmb_cha_tomb_prince_0,70,600,36,48,wh2_dlc09_tmb_halberd_prince,0,0.0,0,0,0,0,0,,1,Tomb Prince,55,370,medium
40,0,25,3507,900,260,0.7027027027027027,70,4.0,wh_encourage_fear_hideForest_undead,hero,cavalry,35,com,110,0,-25,0,15,0,tmb,0.0,76.0,wh2_dlc09_tmb_cha_tomb_prince_1,70,900,36,48,wh2_dlc09_tmb_halberd_prince,0,0.0,0,0,0,0,0,,1,Tomb Prince,35,370,medium
41,28,0,3930,1000,120,0.34285714285714286,100,4.0,wh_encourage_fear_undead,hero,war_machine,80,com,230,0,-25,0,15,0,tmb,0.0,74.0,wh2_dlc09_tmb_cha_tomb_prince_2,70,900,30,24,wh2_dlc09_tmb_chariot_lord,0,0.0,0,0,0,0,0,,2,Tomb Prince,0,350,heavy
42,0,0,5670,525,4,0.1,10,4.3,wh_fear_hideForest_undead,melee_infantry,inf_melee,16,inf_mel,36,0,0,0,0,0,tmb,0.0,38.0,wh2_dlc09_tmb_inf_crypt_ghouls,44,90,27,25,wh_main_claws_ghouls,0,0.0,0,0,0,0,0,,90,Crypt Ghouls,0,40,heavy
43,0,0,6840,575,7,0.21212121212121213,45,4.5,wh_fear_hideForest_undead,melee_infantry,inf_melee,15,inf_mel,26,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_nehekhara_warriors_0,44,80,32,21,wh2_dlc09_tmb_dual_sword,0,0.0,0,0,0,0,0,,90,Nehekhara Warriors,0,33,heavy
44,0,0,5220,950,15,0.3191489361702128,0,4.5,wh_fear_hideForest_undead,melee_infantry,inf_melee,15,inf_mel,32,0,0,0,0,70,tmb,0.0,35.0,wh2_dlc09_tmb_inf_nehekhara_warriors_ror,49,80,48,31,wh2_dlc09_tmb_dual_sword_ror,0,0.0,0,0,0,0,0,,90,Usirian's Legion of the Netherworld (Nehekhara Warriors),0,47,heavy
45,0,0,5130,475,3,0.15,10,4.4,wh_fear_hideForest_undead,missile_infantry,inf_ranged,3,inf_mis,17,0,0,0,0,0,tmb,0.0,31.0,wh2_dlc09_tmb_inf_skeleton_archers_0,30,80,10,14,wh2_dlc09_tmb_sword_short,1,0.09090909090909091,10,1,140,1,11,wh2_dlc09_tmb_bow_skeleton,90,Skeleton Archers,0,20,light
46,0,0,5130,700,3,0.15,30,4.4,wh_fear_hideForest_undead,missile_infantry,inf_ranged,3,inf_mis,17,0,0,0,0,0,tmb,0.0,31.0,wh2_dlc09_tmb_inf_skeleton_archers_ror,40,80,13,21,wh2_dlc09_tmb_sword_short,1,0.09090909090909091,10,1,160,1,11,wh2_dlc09_tmb_bow_skeleton_ror,90,Blessed Legion of Phakth (Skeleton Archers),0,20,light
47,0,13,7320,350,6,0.25,10,5.7,wh_chargeReflectorVsL_fear_hideForest_undead,melee_infantry,inf_melee,3,inf_spr,18,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_skeleton_spearmen_0,30,80,14,30,wh2_dlc09_tmb_spear,0,0.0,0,0,0,0,0,,120,Skeleton Spearmen,55,24,heavy
48,0,13,7320,600,5,0.20833333333333334,45,4.5,wh_chargeReflector_fear_hideForest_undead,melee_infantry,inf_melee,3,inf_spr,19,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_skeleton_spearmen_ror,40,80,18,41,wh2_dlc09_tmb_spear_ror,0,0.0,0,0,0,0,0,,120,King Nekhesh's Scorpion Legion (Skeleton Spearmen),55,24,heavy
49,0,0,7320,325,6,0.23076923076923078,10,4.3,wh_fear_hideForest_undead,melee_infantry,inf_melee,5,inf_mel,20,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_skeleton_warriors_0,30,80,18,22,wh2_dlc09_tmb_sword,0,0.0,0,0,0,0,0,,120,Skeleton Warriors,55,26,heavy
50,0,0,9150,400,6,0.23076923076923078,10,4.3,wh_fear_hideForest_undead,melee_infantry,inf_melee,5,inf_mel,20,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned,30,80,18,22,wh2_dlc09_tmb_sword,0,0.0,0,0,0,0,0,,150,Skeleton Warriors,55,26,heavy
51,0,0,7380,750,9,0.21428571428571427,50,4.4,wh_fear_hideForest_undead,melee_infantry,inf_melee,8,inf_mel,33,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_tomb_guard_0,60,120,32,41,wh2_dlc09_tmb_sword_tomb_guard,0,0.0,0,0,0,0,0,,90,Tomb Guard,55,42,heavy
52,0,19,7380,850,20,0.6896551724137931,50,4.9,wh_chargeReflectorVsL_fear_hideForest_undead,melee_infantry,inf_melee,5,inf_mel,9,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_tomb_guard_1,60,120,25,47,wh2_dlc09_tmb_halberd,0,0.0,0,0,0,0,0,,90,Tomb Guard (Halberds),55,29,heavy
53,0,0,7380,1050,15,0.3191489361702128,50,4.5,wh_fear_hideForest_undead,melee_infantry,inf_melee,15,inf_mel,32,0,0,0,0,0,tmb,0.0,28.0,wh2_dlc09_tmb_inf_tomb_guard_ror,70,120,38,36,wh2_dlc09_tmb_dual_sword_ror,0,0.0,0,0,0,0,0,,90,The Khepra Guard (Tomb Guard),0,47,heavy
54,0,0,3780,350,10,0.25,20,4.0,wh_fear_guerrilla_undead,war_beast,inf_melee,12,inf_mel,30,0,0,0,0,0,tmb,100.0,70.0,wh2_dlc09_tmb_mon_carrion_0,35,80,26,46,wh2_cld09_tmb_carrion,0,0.0,0,0,0,0,0,,18,Carrion,0,40,heavy
55,0,0,4050,500,45,0.75,45,4.0,wh_fear_guerrilla_undead,war_beast,inf_melee,22,inf_mel,15,0,0,0,0,0,tmb,120.0,80.0,wh2_dlc09_tmb_mon_carrion_ror,50,200,38,46,wh2_cld09_tmb_carrion_ror,0,0.0,0,0,0,0,0,,8,The Flock of Djaf (Carrion),0,60,heavy
56,0,0,4560,525,3,0.13636363636363635,0,4.6,wh_fear_guerrilla_hideForest_undead,war_beast,inf_melee,24,inf_mel,19,0,0,0,0,0,tmb,0.0,95.0,wh2_dlc09_tmb_mon_dire_wolves,30,150,26,14,wh_main_vmp_wolf_fangs,0,0.0,0,0,0,0,0,,60,Dire Wolves,0,22,heavy
57,0,0,3150,375,2,0.09090909090909091,0,4.3,wh_fear_undead,war_beast,inf_melee,6,inf_mel,20,0,0,0,0,0,tmb,110.0,70.0,wh2_dlc09_tmb_mon_fell_bats,30,70,14,44,wh_main_vmp_fell_bats,0,0.0,0,0,0,0,0,,45,Fell Bats,0,22,heavy
58,0,0,9465,2000,413,0.7509090909090909,100,4.0,wh2_construct_fear_terror,monster,inf_melee,20,inf_mel,137,0,0,0,0,0,tmb,0.0,32.0,wh2_dlc09_tmb_mon_heirotitan_0,60,6500,52,45,whh2_dlc09_tmb_heirotitan,0,0.0,0,0,0,0,0,,1,Hierotitan,0,550,very_heavy
59,15,0,28866,1800,340,0.7083333333333334,95,3.5,wh2_construct_fear_terror,monster,war_beast,64,inf_mel,140,0,0,0,0,0,tmb,0.0,68.0,wh2_dlc09_tmb_mon_khemrian_warsphinx_0,55,5500,34,42,wh2_dlc09_tmb_warsphinx,0,0.0,0,0,0,0,0,,3,Khemrian Warsphinx,0,480,super_heavy
60,0,35,6120,2000,400,0.7272727272727273,100,3.6,wh2_construct_fear_terror,monster,inf_melee,52,inf_mel,150,0,0,0,0,0,tmb,0.0,68.0,wh2_dlc09_tmb_mon_necrosphinx_0,45,5500,45,43,wh2_dlc09_swords_necrosphinx,0,0.0,0,0,0,0,0,,1,Necrosphinx,0,550,super_heavy
61,0,35,7035,2350,400,0.7272727272727273,100,3.6,wh2_construct_fear_terror,monster,inf_melee,52,inf_mel,150,0,25,0,0,0,tmb,0.0,68.0,wh2_dlc09_tmb_mon_necrosphinx_ror,55,5500,53,53,wh2_dlc09_swords_necrosphinx_RoR,0,0.0,0,0,0,0,0,,1,The Sphinx of Usekph (Necrosphinx),0,550,super_heavy
62,0,21,5280,1200,57,0.7307692307692307,80,4.6,wh2_construct_fear_hideForest_guerrilla_chargeReflectorVsL,monstrous_infantry,inf_ranged,10,inf_mis,21,0,0,0,25,0,tmb,0.0,50.0,wh2_dlc09_tmb_mon_sepulchral_stalkers_0,50,900,24,36,wh2_dlc09_tmb_halberd_stalker,12,1.0,0,8,80,1,12,wh2_dlc09_tmb_stalker_gaze,12,Sepulchral Stalkers,0,78,heavy
63,0,21,5280,1350,57,0.7307692307692307,80,4.6,wh2_construct_fear_hideForest_guerrilla_stalk_chargeReflectorVsL,monstrous_infantry,inf_ranged,10,inf_mis,21,0,0,0,25,0,tmb,0.0,50.0,wh2_dlc09_tmb_mon_sepulchral_stalkers_ror,60,900,29,48,wh2_dlc09_tmb_halberd_stalker,12,1.0,0,8,80,1,12,wh2_dlc09_tmb_stalker_gaze,12,Eyes of the Desert (Sepulchral Stalkers),0,78,heavy
64,10,0,4815,1000,270,0.7105263157894737,90,3.7,wh2_construct_fear_terror_hideForest_guerrilla,monster,inf_melee,45,inf_mel,110,0,0,0,0,0,tmb,0.0,50.0,wh2_dlc09_tmb_mon_tomb_scorpion_0,55,3000,40,35,wh2_dlc09_tmb_scorpion_claws,0,0.0,0,0,0,0,0,,1,Tomb Scorpion,0,380,super_heavy
65,5,0,6096,900,52,0.7222222222222222,90,3.8,wh2_construct_fear_hideForest,monstrous_infantry,inf_melee,18,inf_mel,20,0,0,0,0,0,tmb,0.0,54.0,wh2_dlc09_tmb_mon_ushabti_0,44,1500,23,35,wh2_dlc09_dual_swords_ushabti,0,0.0,0,0,0,0,0,,12,Ushabti,0,72,heavy
66,5,0,6096,900,52,0.7222222222222222,90,3.8,wh2_construct_fear_hideForest,monstrous_infantry,inf_melee,18,inf_mel,20,0,0,0,0,0,tmb,0.0,54.0,wh2_dlc09_tmb_mon_ushabti_0_summoned,44,1500,23,35,wh2_dlc09_dual_swords_ushabti,0,0.0,0,0,0,0,0,,12,Ushabti,0,72,heavy
67,0,0,4572,1100,47,0.7230769230769231,90,3.8,wh2_construct_fear_hideForest,monstrous_infantry,inf_ranged,18,inf_mis,18,0,0,0,0,0,tmb,0.0,54.0,wh2_dlc09_tmb_mon_ushabti_1,40,1500,23,35,wh2_dlc09_sword_ushabti,104,0.8524590163934426,18,1,255,1,122,wh2_dlc09_tmb_bow_ushabti,9,Ushabti (Great Bow),0,65,heavy
68,0,0,4572,1250,47,0.7230769230769231,90,3.8,wh2_construct_fear_hideForest,monstrous_infantry,inf_ranged,18,inf_mis,18,0,0,0,0,0,tmb,0.0,54.0,wh2_dlc09_tmb_mon_ushabti_ror,50,1500,28,47,wh2_dlc09_sword_ushabti,16,0.8,4,1,255,1,20,wh2_dlc09_tmb_ushabti_bolt_ror,9,Chosen of the Gods (Ushabti - Great Bow),0,65,heavy
69,12,0,4491,850,10,0.29411764705882354,50,4.0,wh_fear_undead,chariot,war_machine,52,chariot,24,0,0,0,0,0,tmb,0.0,74.0,wh2_dlc09_tmb_veh_skeleton_archer_chariot_0,55,900,22,24,wh2_dlc09_tmb_chariot,10,0.38461538461538464,16,1,140,1,26,wh2_dlc09_tmb_bow_chariot,18,Skeleton Archer Chariot,0,34,heavy
70,12,0,4491,750,10,0.29411764705882354,50,4.0,wh_fear_undead,chariot,war_machine,52,chariot,24,0,0,0,0,0,tmb,0.0,74.0,wh2_dlc09_tmb_veh_skeleton_chariot_0,55,900,22,24,wh2_dlc09_tmb_chariot,0,0.0,0,0,0,0,0,,18,Skeleton Chariot,0,34,heavy
71,0,0,4050,1100,13,0.28888888888888886,15,4.5,wh_guerrilla_hideForest,melee_cavalry,cavalry,40,cav_mel,32,0,0,0,0,40,def,0.0,92.0,wh2_dlc10_def_cav_doomfire_warlocks_0,65,600,32,22,wh2_dlc10_def_warlock_sword,0,0.0,0,0,0,0,0,,45,Doomfire Warlocks,0,45,medium
72,0,0,4320,1550,34,0.7083333333333334,120,4.3,wh_fear_hideForest,melee_cavalry,cavalry,42,cav_mel,14,0,0,0,0,0,def,0.0,66.0,wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0,85,1050,45,56,wh2_main_def_cold_one_mace,0,0.0,0,0,0,0,0,,36,Knights of the Ebon Claw (Dread Knights),35,48,heavy
73,0,0,2916,1000,5,0.20833333333333334,30,4.3,wh_guerrilla_hideForest,missile_cavalry,cavalry,20,cav_mis,19,0,0,0,0,0,def,105.0,65.0,wh2_dlc10_def_cav_raven_heralds_ror_0,62,1100,23,24,wh2_main_def_shortsword,22,0.7857142857142857,6,2,115,1,28,wh2_main_def_repeater_crossbow_pegasus_ror_0,18,Raven Heralds (Repeater Crossbow),0,24,medium
