armour	category	charge_bonus	class	key	melee_attack	melee_defence	morale	bonus_hit_points	primary_melee_weapon	attribute_group	damage_mod_flames	damage_mod_magic	damage_mod_physical	damage_mod_missiles	damage_mod_all
wh2_main_chainmail_35	inf_melee	42	inf_mel	wh_dlc03_bst_inf_centigors_0	24	26	60	100	wh_dlc03_bst_centigor_spear	wh_guerrilla_hideForest	0	0	0	0	0
wh2_main_chainmail_35	inf_ranged	30	inf_mis	wh_dlc03_bst_inf_centigors_1	22	20	60	90	wh_dlc03_bst_centigor_spear	wh_guerrilla_hideForest_mountedFireMove	0	0	0	0	0
wh2_main_plate_80	war_machine	95	com	wh_dlc03_bst_cha_beastlord_1	32	20	70	5468	wh_dlc03_bst_chariot_general_hero	wh_encourage_fear	0	0	0	15	0
wh2_main_heavy_metal_100	war_machine	105	com	wh_dlc03_bst_cha_khazrak_one_eye_1	34	26	75	5700	wh_dlc03_bst_chariot_general_hero	wh_encourage_fear_guerrilla_deploy	0	0	0	15	0
wh2_main_plate_80	war_machine	70	com	wh_dlc03_bst_cha_bray_shaman_beasts_1	24	18	55	4624	wh_dlc03_bst_chariot_hero	wh_encourage_fear	0	0	0	15	0
wh2_main_plate_80	war_machine	70	com	wh_dlc03_bst_cha_bray_shaman_death_1	24	18	55	4624	wh_dlc03_bst_chariot_hero	wh_encourage_fear	0	0	0	15	0
wh2_main_plate_80	war_machine	70	com	wh_dlc03_bst_cha_bray_shaman_shadows_1	24	18	55	4624	wh_dlc03_bst_chariot_hero	wh_encourage_fear	0	0	0	15	0
wh2_main_plate_80	war_machine	70	com	wh_dlc03_bst_cha_bray_shaman_wild_1	24	18	55	4624	wh_dlc03_bst_chariot_hero	wh_encourage_fear	0	0	0	15	0
wh2_main_body_10	inf_melee	30	inf_mel	wh_dlc03_bst_mon_chaos_spawn_0	34	28	100	540	wh_dlc03_bst_claws_chaos_spawn	wh_fear_unbreakable	0	0	0	0	0
wh2_main_body_10	inf_melee	30	inf_mel	wh_dlc03_bst_mon_chaos_spawn_0_summoned	34	28	100	540	wh_dlc03_bst_claws_chaos_spawn	wh_fear_unbreakable	0	0	0	0	0
wh2_main_body_10	inf_melee	30	inf_mel	wh_dlc05_bst_mon_chaos_spawn_0_boss	34	28	100	540	wh_dlc03_bst_claws_chaos_spawn	wh_fear_unbreakable	0	0	0	0	0
wh2_main_leather_50	inf_ranged	28	spcl	wh_dlc03_bst_inf_cygor_0	44	17	75	10080	wh_dlc03_bst_cygor	wh_fear_terror	0	25	0	0	0
wh2_main_leather_50	inf_ranged	28	spcl	wh_dlc03_bst_inf_cygor_0_summoned	44	17	75	10080	wh_dlc03_bst_cygor	wh_fear_terror	0	25	0	0	0
wh2_main_leather_15	inf_melee	22	inf_mel	wh_dlc03_bst_inf_gor_herd_1	26	35	62	72	wh_dlc03_bst_gor_axe	wh_guerrilla_hideForest	0	0	0	0	0
wh2_main_body_35	inf_melee	22	inf_mel	wh_pro04_bst_inf_gor_herd_ror_0	31	47	72	72	wh_dlc03_bst_gor_axe	wh_guerrilla_hideForest_stalk	0	0	0	0	0
wh2_main_leather_15	inf_melee	26	inf_mel	wh_dlc03_bst_inf_gor_herd_0	36	25	62	72	wh_dlc03_bst_gor_axe_dual	wh_guerrilla_hideForest	0	0	0	0	0
wh2_main_heavy_metal_100	inf_melee	50	com	wh_dlc03_bst_cha_gorebull_0	36	32	60	5860	wh_dlc03_bst_gor_axe_gorebull	wh_encourage_fear_hideForest	0	0	0	15	0
wh2_main_plate_70	inf_melee	60	com	wh_dlc03_bst_cha_beastlord_0	60	40	70	4648	wh_dlc03_bst_gor_axe_hero	wh_encourage_hideForest	0	0	0	15	0
wh2_main_plate_70	inf_melee	60	com	wh_dlc03_bst_cha_beastlord_0_qb	60	40	70	4648	wh_dlc03_bst_gor_axe_hero	wh_encourage_hideForest_unbreakable	0	0	0	15	0
wh2_main_heavy_metal_100	inf_melee	60	com	wh_dlc03_bst_cha_graktar_0	55	45	65	6120	wh_dlc03_bst_gor_axe_hero	wh_encourage_unbreakable	0	0	0	15	0
wh2_main_heavy_metal_100	inf_melee	70	com	wh_dlc03_bst_cha_khazrak_one_eye_0	60	52	75	4964	wh_dlc03_bst_gor_axe_hero_khazrak	wh_encourage_guerrilla_hideForest	0	0	0	15	0
wh2_main_body_45	inf_melee	50	inf_mel	wh_dlc03_bst_feral_manticore	40	34	56	5095	wh_dlc03_bst_manticore	wh2_fear_rampage_terror	0	0	0	15	0
wh2_main_body_45	inf_melee	50	inf_mel	wh_dlc08_nor_feral_manticore	40	34	56	5095	wh_dlc03_bst_manticore	wh2_fear_rampage_terror	0	0	0	15	0
wh2_main_body_45	inf_melee	50	inf_mel	wh_main_bst_feral_manticore_summoned	40	34	56	5095	wh_dlc03_bst_manticore	wh2_fear_rampage_terror	0	0	0	15	0
wh2_main_body_45	inf_melee	50	inf_mel	wh2_dlc10_def_mon_feral_manticore_0	40	34	56	5095	wh_dlc03_bst_manticore	wh2_fear_rampage_terror	0	0	0	15	0
wh2_main_body_35	inf_melee	38	inf_mel	wh_dlc03_bst_inf_minotaurs_0	38	32	60	506	wh_dlc03_bst_minotaur_axe	wh_fear	0	0	0	0	0
wh2_main_body_45	inf_melee	34	inf_mel	wh_dlc03_bst_inf_minotaurs_1	36	46	60	506	wh_dlc03_bst_minotaur_axe	wh_fear	0	0	0	0	0
wh2_main_body_45	inf_melee	34	inf_mel	wh_pro04_bst_inf_minotaurs_ror_0	43	60	70	506	wh_dlc03_bst_minotaur_axe	wh_fear_terror	0	0	0	0	0
wh2_main_body_35	inf_melee	44	inf_mel	wh_dlc03_bst_inf_minotaurs_2	36	32	60	506	wh_dlc03_bst_minotaur_great_axe	wh_fear	0	0	0	0	0
wh2_main_leather_45	inf_melee	46	spcl	wh_dlc03_bst_inf_razorgor_herd_0	24	16	55	178	wh_dlc03_bst_razorgor_tusk	wh2_fear_rampage	0	0	0	0	0
wh2_main_leather_15	inf_melee	38	com	wh_dlc03_bst_cha_bray_shaman_beasts_0	30	28	55	4160	wh_dlc03_bst_staff_bray_shaman	wh_encourage_hideForest	0	0	0	15	0
wh2_main_leather_15	inf_melee	38	com	wh_dlc03_bst_cha_bray_shaman_death_0	30	28	55	4160	wh_dlc03_bst_staff_bray_shaman	wh_encourage_hideForest	0	0	0	15	0
wh2_main_leather_15	inf_melee	38	com	wh_dlc03_bst_cha_bray_shaman_shadows_0	30	28	55	4160	wh_dlc03_bst_staff_bray_shaman	wh_encourage_hideForest	0	0	0	15	0
wh2_main_leather_15	inf_melee	38	com	wh_dlc03_bst_cha_bray_shaman_wild_0	30	28	55	4160	wh_dlc03_bst_staff_bray_shaman	wh_encourage_hideForest	0	0	0	15	0
wh2_main_leather_15	inf_melee	38	com	wh_dlc03_bst_cha_bray_shaman_wild_0_qb	30	28	55	4160	wh_dlc03_bst_staff_bray_shaman	wh_encourage_hideForest_unbreakable	0	0	0	15	0
wh2_main_leather_15	inf_melee	50	com	wh_dlc03_bst_cha_malagor_the_dark_omen_0	40	35	65	4964	wh_dlc03_bst_staff_hero_malagor	wh_encourage_hideForest	0	0	0	15	0
wh2_main_leather_15	inf_melee	15	inf_mel	wh_dlc03_bst_inf_ungor_herd_1	22	24	54	48	wh_dlc03_bst_ungor_axe	wh_expendable_guerrilla_stalk	0	0	0	0	0
wh2_main_leather_15	inf_ranged	6	inf_mis	wh_dlc03_bst_inf_ungor_raiders_0	20	18	45	45	wh_dlc03_bst_ungor_axe_raiders	wh_expendable_guerrilla_stalk	0	0	0	0	0
wh2_main_leather_15	inf_melee	6	inf_mel	wh_dlc03_bst_inf_ungor_spearmen_1	20	30	54	47	wh_dlc03_bst_ungor_spear	wh_chargeReflectorVsL_expendable_hideForest	0	0	0	0	0
wh2_main_leather_15	inf_melee	10	inf_mel	wh_dlc03_bst_inf_ungor_spearmen_0	20	22	50	47	wh_dlc03_bst_ungor_spear_0	wh_chargeReflectorVsL_expendable_hideForest	0	0	0	0	0
wh2_main_plate_100	war_machine	74	chariot	wh_dlc03_bst_cav_razorgor_chariot_0	24	28	60	1496	wh_dlc03_chs_chariot_razorgor	wh_fear	0	0	0	0	0
wh2_main_leather_25	inf_ranged	14	inf_mis	wh_dlc04_emp_inf_free_company_militia_0	28	25	55	53	wh_dlc04_emp_free_company_sword	wh_guerrilla_hideForest	0	0	0	0	0
wh2_main_leather_25	inf_ranged	14	inf_mis	wh_dlc04_emp_inf_stirlands_revenge_0	34	35	65	53	wh_dlc04_emp_free_company_sword	wh_guerrilla_hideForest_immPsy_stalk	0	0	0	0	0
wh2_main_plate_95	inf_melee	26	com	wh_dlc04_emp_cha_arch_lector_0	30	55	75	4060	wh_dlc04_emp_hammer_arch_lector	wh_encourage_hideForest	0	0	0	15	0
wh2_main_plate_95	cavalry	46	com	wh_dlc04_emp_cha_arch_lector_1	30	55	75	4664	wh_dlc04_emp_hammer_arch_lector	wh_encourage_hideForest	0	0	0	15	0
wh2_main_plate_120	cavalry	46	com	wh_dlc04_emp_cha_arch_lector_2	30	55	75	4664	wh_dlc04_emp_hammer_arch_lector	wh_encourage_hideForest	0	0	0	15	0
wh2_main_plate_95	inf_melee	26	com	wh_dlc06_emp_cha_arch_lector_0_boss	30	55	75	6000	wh_dlc04_emp_hammer_arch_lector	wh_encourage_hideForest_unbreakable	0	0	0	15	0
wh2_main_plate_50	inf_melee	30	com	wh_dlc04_emp_cha_volkmar_the_grim_0	55	40	80	4664	wh_dlc04_emp_hammer_volkmar	wh_encourage_hideForest	0	25	0	15	0
wh2_main_plate_50	cavalry	50	com	wh_dlc04_emp_cha_volkmar_the_grim_2	55	40	80	5300	wh_dlc04_emp_hammer_volkmar	wh_encourage_hideForest	0	25	0	15	0
wh2_main_plate_80	cavalry	50	com	wh_dlc04_emp_cha_volkmar_the_grim_3	55	40	80	5300	wh_dlc04_emp_hammer_volkmar	wh_encourage_hideForest	0	25	0	15	0
wh2_main_plate_100	war_machine	50	com	wh_dlc04_emp_cha_volkmar_the_grim_1	30	20	80	6600	wh_dlc04_emp_hammer_volkmar_altar	wh_encourage_fear_terror_unbreakable	0	40	0	15	0
wh2_main_plate_100	cavalry	78	cav_mel	wh_dlc04_emp_cav_knights_blazing_sun_0	40	24	70	96	wh_dlc04_emp_lance_blazing_sun	wh_hideForest	0	25	0	0	0
wh_main_body_0	inf_melee	24	inf_mel	wh_dlc04_emp_inf_flagellants_0	32	10	100	65	wh_dlc04_emp_mace	wh_hideForest_unbreakable	0	0	0	0	0
wh_main_body_0	inf_melee	24	inf_mel	wh_dlc04_emp_inf_tattersouls_0	38	16	100	65	wh_dlc04_emp_mace	wh_hideForest_unbreakable	0	0	0	0	0
wh2_main_chainmail_30	inf_melee	20	inf_mel	wh_dlc04_emp_inf_sigmars_sons_0	38	44	100	66	wh_dlc04_emp_sigmars_sons_sword	wh_hideForest_unbreakable	0	0	0	0	0
wh2_main_heavy_metal_40	war_machine	12	chariot	wh_dlc04_vmp_veh_claw_of_nagash_0	36	20	70	7084	wh_dlc04_vmp_mortis_engine	wh_fear_terror_undead	0	25	0	0	0
wh2_main_heavy_metal_40	war_machine	12	chariot	wh_dlc04_vmp_veh_mortis_engine_0	30	13	60	7084	wh_dlc04_vmp_mortis_engine	wh_fear_terror_undead	0	0	0	0	0
wh2_main_leather_15	inf_melee	35	com	wh_dlc04_vmp_cha_strigoi_ghoul_king_0	54	40	60	5368	wh_dlc04_vmp_strigoi	wh_encourage_fear_hideForest_undead	0	0	0	15	0
wh2_main_leather_15	inf_melee	35	com	wh_dlc04_vmp_cha_strigoi_ghoul_king_0_boss	54	40	60	13300	wh_dlc04_vmp_strigoi	wh_encourage_fear_undead	0	0	0	15	0
wh2_main_bone_80	war_beast	40	com	wh_dlc04_vmp_cha_strigoi_ghoul_king_1	32	40	60	7944	wh_dlc04_vmp_strigoi_terrogheist	wh_encourage_fear_terror_undead	0	0	0	15	0
wh2_main_plate_60	inf_melee	6	inf_mel	wh_dlc04_vmp_inf_konigstein_stalkers_0	23	31	40	53	wh_dlc04_vmp_sword_stalkers_poison	wh_fear_hideForest_undead	0	0	0	0	0
wh_main_body_0	inf_melee	24	inf_mel	wh_dlc04_vmp_mon_direpack_0	32	21	40	68	wh_dlc04_vmp_wolf_fangs_direpack	wh_fear_guerrilla_hideForest_undead	0	0	0	0	0
wh2_main_leather_15	inf_melee	20	inf_mel	wh_dlc05_bst_mon_harpies_0	22	38	52	79	wh_dlc05_bst_harpy_claws	wh_guerrilla	0	0	0	0	0
wh2_main_leather_15	inf_melee	20	inf_mel	wh2_main_def_inf_harpies	22	38	52	79	wh_dlc05_bst_harpy_claws	wh_guerrilla	0	0	0	0	0
wh2_main_leather_15	inf_melee	56	com	wh_dlc05_bst_cha_morghur_0	55	45	75	6084	wh_dlc05_bst_morghur_claws	wh_encourage_hideForest_immuneToPsych	0	25	0	75	0
wh2_main_leather_15	inf_melee	67	com	wh_dlc05_bst_cha_morghur_0_boss	55	45	100	9320	wh_dlc05_bst_morghur_claws_boss		0	0	0	15	0
wh2_main_plate_90	inf_melee	35	com	wh_dlc05_vmp_cha_red_duke_0	70	48	80	4200	wh_dlc05_vmp_red_duke_sword	wh_encourage_fear_hideForest_undead	0	0	0	15	0
wh2_main_plate_80	cavalry	60	com	wh_dlc05_vmp_cha_red_duke_1	70	48	80	4844	wh_dlc05_vmp_red_duke_sword	wh_encourage_fear_undead	0	0	0	15	0
wh2_main_plate_110	cavalry	60	com	wh_dlc05_vmp_cha_red_duke_2	70	48	80	4844	wh_dlc05_vmp_red_duke_sword	wh_encourage_fear_hideForest_undead	0	0	0	15	0
wh2_main_chainmail_40	inf_melee	10	inf_mel	wh_dlc05_wef_inf_eternal_guard_0	26	36	80	64	wh_dlc05_wef_asrai_spear	wh_hideForest_chargeReflectorVsL	0	0	0	0	0
wh2_main_chainmail_40	inf_melee	6	inf_mel	wh_dlc05_wef_inf_eternal_guard_1	26	44	80	64	wh_dlc05_wef_asrai_spear	wh_hideForest_chargeReflectorVsL	0	0	0	0	0
wh2_main_chainmail_40	inf_melee	6	inf_mel	wh_dlc05_wef_inf_eternal_guard_1_qb	26	44	80	64	wh_dlc05_wef_asrai_spear	wh_hideForest_unbreakable_chargeReflectorVsL	0	0	0	0	0
wh2_main_chainmail_40	inf_melee	6	inf_spr	wh_pro04_wef_inf_eternal_guard_ror_0	32	58	100	64	wh_dlc05_wef_asrai_spear	wh_chargeReflector_encourage_hideForest_unbreakable	0	0	0	0	0
wh2_main_body_60	inf_melee	32	com	wh_dlc05_wef_cha_branchwraith_0	47	35	60	4160	wh_dlc05_wef_branchwraith_claws	wh_fear_hideForest_immPsy_guerrilla_encourage	-25	0	20	15	0
wh2_main_body_50	war_beast	60	com	wh_dlc05_wef_cha_female_glade_lord_3	48	40	70	6108	wh_dlc05_wef_dragon	wh_encourage_fear_terror_mountedFireMove	0	0	20	25	0
wh2_main_body_50	war_beast	60	com	wh_dlc05_wef_cha_glade_lord_3	48	40	70	6108	wh_dlc05_wef_dragon	wh_encourage_fear_terror_mountedFireMove	0	0	20	25	0
wh2_main_body_50	inf_melee	60	inf_mel	wh_dlc05_wef_forest_dragon_0	46	36	65	6000	wh_dlc05_wef_dragon	wh_fear_terror	0	0	20	25	0
wh2_main_body_70	inf_melee	72	com	wh_dlc08_wef_forest_dragon_boss	65	56	61	11200	wh_dlc05_wef_dragon_boss	wh_fear_terror_unbreakable	0	0	45	45	0
wh2_main_body_60	inf_melee	12	inf_mel	wh_dlc05_wef_inf_dryads_0	33	24	65	62	wh_dlc05_wef_dryads_claw	wh_fear_hideForest_immPsy_guerrilla	-25	0	20	0	0
wh2_main_body_60	inf_melee	12	inf_mel	wh2_dlc10_hef_inf_dryads_0	33	24	65	62	wh_dlc05_wef_dryads_claw	wh_fear_hideForest_immPsy_guerrilla	-25	0	20	0	0
wh2_main_body_100	inf_melee	40	com	wh_dlc05_wef_cha_durthu_0	65	48	90	9820	wh_dlc05_wef_durthu_sword	wh_encourage_hideForest_fear_terror_chargeReflectorVsL	-25	0	20	15	0
wh2_main_body_15	cavalry	24	cav_mis	wh_dlc05_wef_cav_glade_riders_0	28	24	58	72	wh_dlc05_wef_glade_rider_sword	wh_guerrilla_hideForest_mountedFireMove	0	0	0	0	0
wh2_main_body_15	cavalry	24	cav_mis	wh_dlc05_wef_cav_glade_riders_1	28	24	58	72	wh_dlc05_wef_glade_rider_sword	wh_guerrilla_hideForest_mountedFireMove	0	0	0	0	0
wh2_main_body_15	cavalry	24	cav_mis	wh_dlc05_wef_cav_glade_riders_1_qb	28	24	58	72	wh_dlc05_wef_glade_rider_sword	wh_guerrilla_hideForest_mountedFireMove_unbreakable	0	0	0	0	0
wh2_main_body_30	war_beast	62	com	wh_dlc05_wef_cha_spellsinger_beasts_2	44	30	60	4664	wh_dlc05_wef_great_eagle_caster	wh_encourage_fear	0	0	0	15	0
wh2_main_body_30	war_beast	62	com	wh_dlc05_wef_cha_spellsinger_life_2	44	30	60	4664	wh_dlc05_wef_great_eagle_caster	wh_encourage_fear	0	0	0	15	0
wh2_main_body_30	war_beast	62	com	wh_dlc05_wef_cha_spellsinger_shadows_2	44	30	60	4664	wh_dlc05_wef_great_eagle_caster	wh_encourage_fear	0	0	0	15	0
wh2_main_body_30	inf_melee	62	inf_mel	wh_dlc05_wef_mon_great_eagle_0	44	30	60	4655	wh_dlc05_wef_great_eagle_claws	wh_fear	0	0	0	0	0
wh2_main_chainmail_40	inf_melee	22	inf_mel	wh_dlc05_wef_inf_wildwood_rangers_0	48	38	76	76	wh_dlc05_wef_greatsword	wh_hideForest_immPsy	0	0	0	0	0
wh2_main_body_15	cavalry	42	cav_mis	wh_dlc05_wef_cav_hawk_riders_0	25	18	60	174	wh_dlc05_wef_hawk_talons	wh_mountedFireMove	0	0	0	0	0
wh2_main_body_30	inf_ranged	65	com	wh_dlc05_wef_cha_orion_0	65	30	100	7428	wh_dlc05_wef_orion_spear	wh_fear_terror_hideForest_unbreakable_encourage	0	0	0	20	0
wh2_main_body_15	inf_melee	12	inf_mel	wh_dlc05_wef_inf_wardancers_1	30	49	70	60	wh_dlc05_wef_spear_wardancer	wh_hideForest_immPsy_chargeReflectorVsL	0	0	20	0	0
wh2_main_body_15	inf_melee	12	inf_spr	wh_pro04_wef_inf_wardancers_ror_0	36	64	80	60	wh_dlc05_wef_spear_wardancer	wh_hideForest_immPsy_chargeReflectorVsL	0	0	20	0	0
wh2_main_body_15	inf_ranged	7	inf_mis	wh_dlc05_wef_inf_deepwood_scouts_0	18	22	68	58	wh_dlc05_wef_sword_archer	wh_guerrilla_stalk_mountedFireMove	0	0	0	0	0
wh2_main_body_15	inf_ranged	7	inf_mis	wh_dlc05_wef_inf_deepwood_scouts_1	18	22	68	58	wh_dlc05_wef_sword_archer	wh_guerrilla_stalk_mountedFireMove	0	0	0	0	0
wh2_main_body_15	inf_ranged	7	inf_mis	wh_dlc05_wef_inf_deepwood_scouts_1_qb	18	27	68	58	wh_dlc05_wef_sword_archer	wh_guerrilla_stalk_mountedFireMove	0	0	0	0	0
wh2_main_body_15	inf_ranged	7	inf_mis	wh_dlc05_wef_inf_glade_guard_0	20	27	60	61	wh_dlc05_wef_sword_archer	wh_hideForest_mountedFireMove	0	0	0	0	0
wh2_main_body_15	inf_ranged	7	inf_mis	wh_dlc05_wef_inf_glade_guard_1	20	27	60	61	wh_dlc05_wef_sword_archer	wh_hideForest_mountedFireMove	0	0	0	0	0
wh2_main_body_15	inf_ranged	7	inf_mis	wh_dlc05_wef_inf_glade_guard_1_qb	20	22	60	61	wh_dlc05_wef_sword_archer	wh_hideForest_mountedFireMove	0	0	0	0	0
wh2_main_body_15	inf_ranged	7	inf_mis	wh_dlc05_wef_inf_glade_guard_2	20	27	60	61	wh_dlc05_wef_sword_archer	wh_hideForest_mountedFireMove	0	0	0	0	0
wh2_main_body_15	inf_melee	24	inf_mel	wh_dlc05_wef_inf_wardancers_0	44	34	70	60	wh_dlc05_wef_sword_dual	wh_hideForest_immuneToPsych	0	0	20	0	0
wh2_main_plate_50	inf_ranged	30	com	wh_dlc05_wef_cha_female_glade_lord_0	65	60	70	3900	wh_dlc05_wef_sword_hero	wh_encourage_hideForest_mountedFireMove	0	0	0	15	0
